game_id,game_date,team_id,is_home,wl,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,season_year,season_type,season
20900001,2009-10-27,1610612739,t,L,0.0,240,29.0,70.0,0.414,6.0,17.0,0.353,25.0,32.0,1.0,6.0,26.0,32,17.0,7.0,9.0,13.0,22.0,89,2009,Regular Season,2009-10
20900001,2009-10-27,1610612738,f,W,1.0,240,32.0,72.0,0.444,9.0,19.0,0.474,22.0,26.0,1.0,6.0,32.0,38,20.0,9.0,8.0,14.0,27.0,95,2009,Regular Season,2009-10
20900002,2009-10-27,1610612742,t,L,0.0,240,30.0,76.0,0.395,4.0,18.0,0.222,27.0,34.0,1.0,11.0,31.0,42,16.0,6.0,9.0,9.0,20.0,91,2009,Regular Season,2009-10
20900002,2009-10-27,1610612764,f,W,1.0,240,39.0,84.0,0.46399999999999997,4.0,13.0,0.308,20.0,24.0,1.0,9.0,37.0,46,19.0,6.0,4.0,9.0,29.0,102,2009,Regular Season,2009-10
20900003,2009-10-27,1610612745,f,L,0.0,240,30.0,81.0,0.37,5.0,18.0,0.278,22.0,29.0,1.0,10.0,23.0,33,18.0,12.0,2.0,16.0,26.0,87,2009,Regular Season,2009-10
20900003,2009-10-27,1610612757,t,W,1.0,240,33.0,77.0,0.429,10.0,21.0,0.47600000000000003,20.0,22.0,1.0,12.0,39.0,51,23.0,9.0,12.0,26.0,27.0,96,2009,Regular Season,2009-10
20900004,2009-10-27,1610612746,f,L,0.0,240,39.0,87.0,0.44799999999999995,3.0,15.0,0.2,11.0,16.0,1.0,15.0,36.0,51,27.0,10.0,4.0,20.0,27.0,92,2009,Regular Season,2009-10
20900004,2009-10-27,1610612747,t,W,1.0,240,35.0,85.0,0.41200000000000003,4.0,17.0,0.235,25.0,37.0,1.0,17.0,30.0,47,17.0,13.0,4.0,16.0,15.0,99,2009,Regular Season,2009-10
20900005,2009-10-28,1610612737,t,W,1.0,240,46.0,87.0,0.529,7.0,12.0,0.583,21.0,29.0,1.0,8.0,27.0,35,30.0,16.0,6.0,10.0,25.0,120,2009,Regular Season,2009-10
20900005,2009-10-28,1610612754,f,L,0.0,240,39.0,73.0,0.534,10.0,18.0,0.556,21.0,25.0,1.0,6.0,34.0,40,23.0,1.0,4.0,25.0,26.0,109,2009,Regular Season,2009-10
20900006,2009-10-28,1610612753,t,W,1.0,240,45.0,81.0,0.556,16.0,29.0,0.552,14.0,17.0,1.0,8.0,29.0,37,28.0,5.0,6.0,15.0,21.0,120,2009,Regular Season,2009-10
20900006,2009-10-28,1610612755,f,L,0.0,240,39.0,78.0,0.5,7.0,18.0,0.389,21.0,30.0,1.0,8.0,26.0,34,19.0,9.0,6.0,13.0,21.0,106,2009,Regular Season,2009-10
20900007,2009-10-28,1610612761,t,W,1.0,240,34.0,75.0,0.45299999999999996,5.0,16.0,0.313,28.0,37.0,1.0,7.0,41.0,48,23.0,4.0,6.0,13.0,30.0,101,2009,Regular Season,2009-10
20900007,2009-10-28,1610612739,f,L,0.0,240,29.0,83.0,0.349,9.0,22.0,0.409,24.0,37.0,1.0,13.0,36.0,49,19.0,4.0,2.0,14.0,27.0,91,2009,Regular Season,2009-10
20900008,2009-10-28,1610612738,t,W,1.0,240,33.0,76.0,0.434,11.0,29.0,0.379,15.0,19.0,1.0,10.0,34.0,44,28.0,10.0,8.0,12.0,22.0,92,2009,Regular Season,2009-10
20900008,2009-10-28,1610612766,f,L,0.0,240,23.0,74.0,0.311,0.0,10.0,0.0,13.0,25.0,1.0,14.0,32.0,46,10.0,6.0,4.0,18.0,23.0,59,2009,Regular Season,2009-10
20900009,2009-10-28,1610612748,t,W,1.0,240,47.0,83.0,0.5660000000000001,7.0,15.0,0.467,14.0,17.0,1.0,7.0,36.0,43,21.0,6.0,3.0,16.0,20.0,115,2009,Regular Season,2009-10
20900009,2009-10-28,1610612752,f,L,0.0,240,33.0,87.0,0.379,10.0,39.0,0.256,17.0,21.0,1.0,12.0,27.0,39,19.0,8.0,3.0,13.0,17.0,93,2009,Regular Season,2009-10
20900010,2009-10-28,1610612765,f,W,1.0,240,37.0,72.0,0.514,6.0,16.0,0.375,16.0,29.0,1.0,10.0,29.0,39,20.0,5.0,4.0,9.0,27.0,96,2009,Regular Season,2009-10
20900010,2009-10-28,1610612763,t,L,0.0,240,26.0,72.0,0.361,2.0,12.0,0.16699999999999998,20.0,31.0,1.0,17.0,32.0,49,10.0,3.0,3.0,14.0,26.0,74,2009,Regular Season,2009-10
20900011,2009-10-28,1610612751,f,L,0.0,240,34.0,81.0,0.42,0.0,8.0,0.0,25.0,29.0,1.0,14.0,38.0,52,20.0,4.0,10.0,22.0,24.0,93,2009,Regular Season,2009-10
20900011,2009-10-28,1610612750,t,W,1.0,240,34.0,93.0,0.366,1.0,7.0,0.14300000000000002,26.0,35.0,1.0,18.0,32.0,50,14.0,15.0,2.0,10.0,23.0,95,2009,Regular Season,2009-10
20900012,2009-10-28,1610612758,f,L,0.0,240,32.0,79.0,0.405,3.0,16.0,0.188,22.0,28.0,1.0,10.0,27.0,37,13.0,6.0,5.0,12.0,23.0,89,2009,Regular Season,2009-10
20900012,2009-10-28,1610612760,t,W,1.0,240,39.0,76.0,0.513,8.0,14.0,0.5710000000000001,16.0,20.0,1.0,8.0,33.0,41,20.0,4.0,6.0,12.0,19.0,102,2009,Regular Season,2009-10
20900013,2009-10-28,1610612759,t,W,1.0,240,45.0,86.0,0.523,9.0,24.0,0.375,14.0,20.0,1.0,11.0,31.0,42,29.0,4.0,0.0,10.0,22.0,113,2009,Regular Season,2009-10
20900013,2009-10-28,1610612740,f,L,0.0,240,39.0,78.0,0.5,5.0,10.0,0.5,13.0,22.0,1.0,5.0,28.0,33,17.0,5.0,4.0,10.0,19.0,96,2009,Regular Season,2009-10
20900014,2009-10-28,1610612743,t,W,1.0,240,43.0,89.0,0.483,5.0,13.0,0.385,23.0,30.0,1.0,14.0,28.0,42,22.0,5.0,6.0,13.0,25.0,114,2009,Regular Season,2009-10
20900014,2009-10-28,1610612762,f,L,0.0,240,37.0,81.0,0.457,6.0,10.0,0.6,25.0,29.0,1.0,10.0,29.0,39,26.0,3.0,4.0,15.0,20.0,105,2009,Regular Season,2009-10
20900015,2009-10-28,1610612745,f,W,0.5,240,40.0,86.0,0.465,12.0,26.0,0.462,16.0,20.0,1.0,13.0,28.0,41,30.0,14.0,7.0,18.0,22.0,108,2009,Regular Season,2009-10
20900015,2009-10-28,1610612744,t,L,0.0,240,44.0,89.0,0.494,4.0,11.0,0.364,15.0,23.0,1.0,13.0,28.0,41,25.0,7.0,8.0,16.0,22.0,107,2009,Regular Season,2009-10
20900016,2009-10-28,1610612746,t,L,0.0,240,43.0,77.0,0.5579999999999999,6.0,13.0,0.462,15.0,27.0,1.0,7.0,28.0,35,27.0,9.0,7.0,15.0,24.0,107,2009,Regular Season,2009-10
20900016,2009-10-28,1610612756,f,W,1.0,240,41.0,80.0,0.513,7.0,15.0,0.467,20.0,27.0,1.0,10.0,26.0,36,19.0,6.0,5.0,14.0,20.0,109,2009,Regular Season,2009-10
20900017,2009-10-29,1610612759,f,L,0.5,240,33.0,78.0,0.423,4.0,21.0,0.19,15.0,23.0,1.0,8.0,36.0,44,15.0,5.0,5.0,13.0,23.0,85,2009,Regular Season,2009-10
20900017,2009-10-29,1610612741,t,W,1.0,240,35.0,84.0,0.41700000000000004,3.0,16.0,0.188,19.0,28.0,1.0,15.0,37.0,52,20.0,5.0,9.0,9.0,20.0,92,2009,Regular Season,2009-10
20900018,2009-10-29,1610612743,f,W,1.0,240,28.0,61.0,0.45899999999999996,3.0,11.0,0.273,38.0,49.0,1.0,5.0,31.0,36,11.0,6.0,3.0,8.0,30.0,97,2009,Regular Season,2009-10
20900018,2009-10-29,1610612757,t,L,0.5,240,28.0,81.0,0.34600000000000003,5.0,19.0,0.263,33.0,41.0,1.0,14.0,30.0,44,16.0,4.0,5.0,7.0,30.0,94,2009,Regular Season,2009-10
