,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Model,Conversion Rate,0.7930545712260808,0.7922437673130194,0.7940771349862259,0.7809065934065934,0.7939142461964038,0.8065187239944521,0.801980198019802,0.7924781732706514,0.7941376959781867,0.7817047817047817,0.8148936170212766,0.7827278958190541,0.8015320334261838,0.8027491408934708,0.7877947295423023,0.8011049723756906,0.7986159169550173,0.7991913746630728,0.8014854827819041,0.7936943111720356,0.8098159509202454,0.7938213566151779,0.7974683544303798,0.7872483221476511,0.7967988865692415,0.7987465181058496,0.8064066852367688,0.7991513437057991,0.7993197278911565,0.7993197278911565,0.8010752688172043,0.8167680865449628,0.7835768963117606,0.7958079783637593,0.8,0.8127090301003345,0.8150170648464163,0.8203551912568307,0.7993150684931507,0.7979166666666667,0.7862165963431786,0.8025867937372362,0.8078512396694215,0.7870434183321847,0.8006666666666666,0.7985372340425532,0.8071625344352618,0.776566757493188,0.8043925875085792,0.8030619345859429,0.813443072702332,0.7911479944674965,0.7904564315352697,0.8017894012388163,0.7951724137931034,0.7966442953020134,0.8105633802816902,0.7976273551988835,0.7943060498220641,0.7875432525951557,0.797324414715719,0.7779282329045363,0.8046448087431693,0.7931972789115647,0.7997265892002734,0.7930800542740841,0.8002812939521801,0.791156462585034,0.8102139406487232,0.8028649386084584,0.8066712049012934,0.7792387543252595,0.8033898305084746,0.7889720898570456,0.7817811012916384,0.8125,0.7997237569060773,0.7913571910871033,0.8107364074328974,0.7813370473537604,0.8088135593220339,0.7995810055865922,0.7963215258855586,0.7909642616318274,0.8155792276964048,0.8079056865464632,0.8048452220726783,0.8099794941900205,0.8073713490959666,0.7932432432432432,0.7965397923875432,0.8013559322033899,0.7980900409276944,0.8018617021276596,0.7907608695652174,0.7610192837465565,0.7983539094650206,0.793127147766323,0.7978363759296823,0.7890410958904109
Model,Recall,0.794180269694819,0.797768479776848,0.8068579426172149,0.8023994354269584,0.8016759776536313,0.7933151432469304,0.7869535045107564,0.8217270194986073,0.8001373626373627,0.8103448275862069,0.8063157894736842,0.7848797250859106,0.7987508674531575,0.7978142076502732,0.8039631988676574,0.807799442896936,0.8126760563380282,0.7981157469717362,0.8135709389993147,0.7877551020408163,0.8125854993160054,0.8191268191268192,0.8198630136986301,0.8266384778012685,0.7918395573997233,0.8066104078762306,0.8201133144475921,0.7946554149085795,0.7960704607046071,0.8103448275862069,0.8136518771331058,0.8074866310160428,0.7907303370786517,0.8078242964996568,0.8195804195804196,0.8083832335329342,0.805668016194332,0.8226027397260274,0.8104166666666667,0.7886067261496225,0.7957295373665481,0.7955465587044535,0.8050789293067948,0.7997198879551821,0.8226027397260274,0.8220396988364134,0.8,0.7883817427385892,0.801641586867305,0.7925824175824175,0.807351940095303,0.7927927927927928,0.786648313833448,0.8051140290255702,0.8018080667593881,0.7971793149764943,0.7840599455040872,0.7861072902338377,0.7787857641311933,0.7969187675070029,0.8175582990397805,0.7929606625258799,0.81353591160221,0.8176718092566619,0.8046767537826685,0.8012337217272104,0.7952480782669462,0.805959805959806,0.8113337940566689,0.8134070490670352,0.8050271739130435,0.8008534850640113,0.8144329896907216,0.805980528511822,0.803072625698324,0.8108651911468813,0.8008298755186722,0.8010936431989063,0.8068493150684931,0.7963094393186657,0.8039083557951483,0.802945301542777,0.8084370677731674,0.8112033195020747,0.8204956463496316,0.7968536251709987,0.811948404616429,0.8012170385395537,0.8017955801104972,0.8192602930914166,0.7976437976437977,0.8179930795847751,0.7975460122699386,0.8034643570952699,0.8060941828254847,0.8024691358024691,0.790224032586558,0.8019457956914524,0.8093278463648834,0.7939352170916609
Model,Proportion of Conversions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Model,Conversions,1119.0,1144.0,1153.0,1137.0,1148.0,1163.0,1134.0,1180.0,1165.0,1128.0,1149.0,1142.0,1151.0,1168.0,1136.0,1160.0,1154.0,1186.0,1187.0,1158.0,1188.0,1182.0,1197.0,1173.0,1145.0,1147.0,1158.0,1130.0,1175.0,1175.0,1192.0,1208.0,1126.0,1177.0,1172.0,1215.0,1194.0,1201.0,1167.0,1149.0,1118.0,1179.0,1173.0,1142.0,1201.0,1201.0,1172.0,1140.0,1172.0,1154.0,1186.0,1144.0,1143.0,1165.0,1153.0,1187.0,1151.0,1143.0,1116.0,1138.0,1192.0,1149.0,1178.0,1166.0,1170.0,1169.0,1138.0,1163.0,1174.0,1177.0,1185.0,1126.0,1185.0,1159.0,1150.0,1209.0,1158.0,1172.0,1178.0,1122.0,1193.0,1145.0,1169.0,1173.0,1225.0,1165.0,1196.0,1185.0,1161.0,1174.0,1151.0,1182.0,1170.0,1206.0,1164.0,1105.0,1164.0,1154.0,1180.0,1152.0
Model,Proportion of Coupons Recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Model,Coupons Recommended,1411.0,1444.0,1452.0,1456.0,1446.0,1442.0,1414.0,1489.0,1467.0,1443.0,1410.0,1459.0,1436.0,1455.0,1442.0,1448.0,1445.0,1484.0,1481.0,1459.0,1467.0,1489.0,1501.0,1490.0,1437.0,1436.0,1436.0,1414.0,1470.0,1470.0,1488.0,1479.0,1437.0,1479.0,1465.0,1495.0,1465.0,1464.0,1460.0,1440.0,1422.0,1469.0,1452.0,1451.0,1500.0,1504.0,1452.0,1468.0,1457.0,1437.0,1458.0,1446.0,1446.0,1453.0,1450.0,1490.0,1420.0,1433.0,1405.0,1445.0,1495.0,1477.0,1464.0,1470.0,1463.0,1474.0,1422.0,1470.0,1449.0,1466.0,1469.0,1445.0,1475.0,1469.0,1471.0,1488.0,1448.0,1481.0,1453.0,1436.0,1475.0,1432.0,1468.0,1483.0,1502.0,1442.0,1486.0,1463.0,1438.0,1480.0,1445.0,1475.0,1466.0,1504.0,1472.0,1452.0,1458.0,1455.0,1479.0,1460.0
Model,Conversions to Base Survey Coupons Recommended Ratio,0.44107213243988963,0.4509262908947576,0.45447378793851007,0.44816712652739454,0.45250295624753645,0.45841545132045725,0.44698462751281043,0.46511627906976744,0.4592037839968467,0.4446196294836421,0.45289712258573117,0.45013795821836816,0.4536854552621206,0.4603862830114308,0.4477729601891998,0.4572329523058731,0.4548679542767048,0.4674812770989358,0.46787544343713044,0.45644461962948363,0.46826960977532517,0.4659046117461569,0.4718171068190776,0.4623571147024044,0.45132045723295233,0.4521087899093417,0.45644461962948363,0.44540796216003153,0.4631454473787939,0.4631454473787939,0.46984627512810406,0.47615293653921953,0.44383129680725264,0.46393378005518326,0.4619629483642097,0.4789121009065826,0.4706346078044935,0.4733937721718565,0.4599921166732361,0.45289712258573117,0.4406779661016949,0.4647221127315727,0.4623571147024044,0.45013795821836816,0.4733937721718565,0.4733937721718565,0.4619629483642097,0.4493496255419787,0.4619629483642097,0.4548679542767048,0.4674812770989358,0.4509262908947576,0.4505321245565629,0.4592037839968467,0.45447378793851007,0.46787544343713044,0.4536854552621206,0.4505321245565629,0.43988963342530546,0.44856129286558927,0.46984627512810406,0.45289712258573117,0.464327946393378,0.45959795033504136,0.46117461568782026,0.46078044934962553,0.44856129286558927,0.45841545132045725,0.46275128104059915,0.46393378005518326,0.46708711076074105,0.44383129680725264,0.46708711076074105,0.45683878596767835,0.4532912889239259,0.47654710287741425,0.45644461962948363,0.4619629483642097,0.464327946393378,0.4422546314544738,0.4702404414662988,0.45132045723295233,0.46078044934962553,0.4623571147024044,0.4828537642885298,0.4592037839968467,0.47142294048088296,0.46708711076074105,0.4576271186440678,0.46275128104059915,0.4536854552621206,0.4659046117461569,0.46117461568782026,0.47536460386283014,0.45880961765865197,0.43555380370516356,0.45880961765865197,0.4548679542767048,0.46511627906976744,0.45407962160031534
Survey,Conversion Rate,0.5483554246440845,0.5555002488800398,0.5568743818001978,0.5474416294088426,0.5541211519364448,0.5695200395843641,0.5687250996015937,0.5650667986145472,0.5725490196078431,0.5410891089108911,0.5530642750373692,0.5562749003984063,0.57244534824606,0.571712158808933,0.5442786069651742,0.5624074987666502,0.5581395348837209,0.5775561097256858,0.5602977667493797,0.5717809570794278,0.5729783037475346,0.5699949824385349,0.5693069306930693,0.5587223587223588,0.5635195254572417,0.5587506197322757,0.549901185770751,0.5495678698525673,0.5804369414101291,0.5653883972468043,0.5752952755905512,0.5734784760019792,0.5577018325903913,0.5691854759568205,0.5591291439881247,0.5888450148075025,0.5724925521350546,0.5789738430583501,0.5532868525896414,0.5691176470588235,0.5417085427135678,0.5764235764235764,0.5726326227069906,0.5552253590886578,0.5689823874755382,0.5778967867575463,0.5734784760019792,0.561429270680372,0.5676877470355731,0.5681246857717446,0.5863925599608419,0.5614035087719298,0.572463768115942,0.5618908382066277,0.5611793611793612,0.5851742758959254,0.5704934541792548,0.5635910224438903,0.5572139303482587,0.5551672491263105,0.5753291077523159,0.5728643216080402,0.5661136249371543,0.555609756097561,0.5737131434282858,0.562656015976036,0.5683525287931898,0.5648472709063596,0.5598039215686275,0.5633732534930139,0.5714285714285714,0.5485602733040508,0.5690499510284035,0.562406015037594,0.5639763779527559,0.5846913580246914,0.5718562874251497,0.5626523647001462,0.5774225774225774,0.5619753086419753,0.5817655571635311,0.5560951918406993,0.563654518222666,0.5627470355731226,0.584319526627219,0.5779770802192327,0.5818728092138208,0.5691542288557214,0.5689569945625309,0.56575682382134,0.569727047146402,0.5629960317460317,0.5739644970414202,0.5807881773399015,0.5681362725450901,0.5368731563421829,0.5768286696121747,0.562439024390244,0.5731166912850812,0.5780780780780781
Survey,Recall,0.7927608232789212,0.7782426778242678,0.787963610916725,0.7776993648553282,0.7793296089385475,0.7851296043656207,0.7925052047189451,0.7952646239554317,0.8021978021978022,0.7852011494252874,0.7789473684210526,0.7676975945017183,0.7814018043025677,0.7868852459016393,0.7742392073602264,0.7938718662952646,0.7943661971830986,0.7792732166890982,0.7738176833447566,0.7884353741496599,0.7948016415868673,0.7872487872487872,0.7876712328767124,0.8012684989429175,0.7883817427385892,0.7925457102672293,0.7882436260623229,0.760196905766526,0.7920054200542005,0.7931034482758621,0.7979522184300342,0.7747326203208557,0.7907303370786517,0.7961564859299931,0.7902097902097902,0.7937458416500333,0.7780026990553306,0.7883561643835616,0.7715277777777778,0.7968428277282087,0.7672597864768683,0.7786774628879892,0.7927247769389156,0.7850140056022409,0.7965753424657535,0.812457221081451,0.7911262798634813,0.793222683264177,0.7859097127222983,0.7760989010989011,0.8155207624234173,0.7983367983367984,0.8155540261527874,0.796821008984105,0.7941585535465925,0.8005372733378107,0.7717983651226158,0.7771664374140302,0.7815771109560363,0.7787114845938375,0.8093278463648834,0.7867494824016563,0.7776243093922652,0.7987377279102384,0.7895460797799174,0.772446881425634,0.793151642208246,0.7817047817047817,0.7892190739460954,0.7802349689011748,0.782608695652174,0.7994310099573257,0.7986254295532647,0.780250347705146,0.8002793296089385,0.7940979208584842,0.7925311203319502,0.7887901572112098,0.7917808219178082,0.8076650106458482,0.8126684636118598,0.802945301542777,0.780774550484094,0.7876901798063624,0.7937039517749498,0.7934336525307798,0.7888662593346911,0.7734956051386072,0.794889502762431,0.7955338450802513,0.7955647955647955,0.7854671280276817,0.7934560327198364,0.7854763491005996,0.7853185595567868,0.7930283224400871,0.7976917854718262,0.8012508686587908,0.7983539094650206,0.7960027567195038
Survey,Proportion of Conversions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
