game_id,game_date,team_id_away,w_pct_away,min_away,fgm_away,fga_away,fg_pct_away,fg3m_away,fg3a_away,fg3_pct_away,ftm_away,fta_away,ft_pct_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,team_id_home,w_pct_home,min_home,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,season_type,season,season_year,wl_away,wl_home,spread_home,spread_away
20900001,2009-10-27,1610612738,1.0,240,32,72,0.444,9,19,0.474,22,26,0.8461538461538461,6,32,38,20,9,8,14,27,95,1610612739,0.0,240,29,70,0.414,6,17,0.353,25,32,0.78125,6,26,32,17,7,9,13,22,89,Regular Season,2009-10,2009,W,L,6,-6
20900002,2009-10-27,1610612764,1.0,240,39,84,0.46399999999999997,4,13,0.308,20,24,0.8333333333333334,9,37,46,19,6,4,9,29,102,1610612742,0.0,240,30,76,0.395,4,18,0.222,27,34,0.7941176470588235,11,31,42,16,6,9,9,20,91,Regular Season,2009-10,2009,W,L,11,-11
20900003,2009-10-27,1610612745,0.0,240,30,81,0.37,5,18,0.278,22,29,0.7586206896551724,10,23,33,18,12,2,16,26,87,1610612757,1.0,240,33,77,0.429,10,21,0.47600000000000003,20,22,0.9090909090909091,12,39,51,23,9,12,26,27,96,Regular Season,2009-10,2009,L,W,-9,9
20900004,2009-10-27,1610612746,0.0,240,39,87,0.44799999999999995,3,15,0.2,11,16,0.6875,15,36,51,27,10,4,20,27,92,1610612747,1.0,240,35,85,0.41200000000000003,4,17,0.235,25,37,0.6756756756756757,17,30,47,17,13,4,16,15,99,Regular Season,2009-10,2009,L,W,-7,7
20900016,2009-10-28,1610612756,1.0,240,41,80,0.513,7,15,0.467,20,27,0.7407407407407407,10,26,36,19,6,5,14,20,109,1610612746,0.0,240,43,77,0.5579999999999999,6,13,0.462,15,27,0.5555555555555556,7,28,35,27,9,7,15,24,107,Regular Season,2009-10,2009,W,L,2,-2
20900015,2009-10-28,1610612745,0.5,240,40,86,0.465,12,26,0.462,16,20,0.8,13,28,41,30,14,7,18,22,108,1610612744,0.0,240,44,89,0.494,4,11,0.364,15,23,0.6521739130434783,13,28,41,25,7,8,16,22,107,Regular Season,2009-10,2009,W,L,1,-1
20900014,2009-10-28,1610612762,0.0,240,37,81,0.457,6,10,0.6,25,29,0.8620689655172413,10,29,39,26,3,4,15,20,105,1610612743,1.0,240,43,89,0.483,5,13,0.385,23,30,0.7666666666666667,14,28,42,22,5,6,13,25,114,Regular Season,2009-10,2009,L,W,-9,9
20900013,2009-10-28,1610612740,0.0,240,39,78,0.5,5,10,0.5,13,22,0.5909090909090909,5,28,33,17,5,4,10,19,96,1610612759,1.0,240,45,86,0.523,9,24,0.375,14,20,0.7,11,31,42,29,4,0,10,22,113,Regular Season,2009-10,2009,L,W,-17,17
20900011,2009-10-28,1610612751,0.0,240,34,81,0.42,0,8,0.0,25,29,0.8620689655172413,14,38,52,20,4,10,22,24,93,1610612750,1.0,240,34,93,0.366,1,7,0.14300000000000002,26,35,0.7428571428571429,18,32,50,14,15,2,10,23,95,Regular Season,2009-10,2009,L,W,-2,2
20900012,2009-10-28,1610612758,0.0,240,32,79,0.405,3,16,0.188,22,28,0.7857142857142857,10,27,37,13,6,5,12,23,89,1610612760,1.0,240,39,76,0.513,8,14,0.5710000000000001,16,20,0.8,8,33,41,20,4,6,12,19,102,Regular Season,2009-10,2009,L,W,-13,13
20900009,2009-10-28,1610612752,0.0,240,33,87,0.379,10,39,0.256,17,21,0.8095238095238095,12,27,39,19,8,3,13,17,93,1610612748,1.0,240,47,83,0.5660000000000001,7,15,0.467,14,17,0.8235294117647058,7,36,43,21,6,3,16,20,115,Regular Season,2009-10,2009,L,W,-22,22
20900008,2009-10-28,1610612766,0.0,240,23,74,0.311,0,10,0.0,13,25,0.52,14,32,46,10,6,4,18,23,59,1610612738,1.0,240,33,76,0.434,11,29,0.379,15,19,0.7894736842105263,10,34,44,28,10,8,12,22,92,Regular Season,2009-10,2009,L,W,-33,33
20900007,2009-10-28,1610612739,0.0,240,29,83,0.349,9,22,0.409,24,37,0.6486486486486487,13,36,49,19,4,2,14,27,91,1610612761,1.0,240,34,75,0.45299999999999996,5,16,0.313,28,37,0.7567567567567568,7,41,48,23,4,6,13,30,101,Regular Season,2009-10,2009,L,W,-10,10
20900006,2009-10-28,1610612755,0.0,240,39,78,0.5,7,18,0.389,21,30,0.7,8,26,34,19,9,6,13,21,106,1610612753,1.0,240,45,81,0.556,16,29,0.552,14,17,0.8235294117647058,8,29,37,28,5,6,15,21,120,Regular Season,2009-10,2009,L,W,-14,14
20900005,2009-10-28,1610612754,0.0,240,39,73,0.534,10,18,0.556,21,25,0.84,6,34,40,23,1,4,25,26,109,1610612737,1.0,240,46,87,0.529,7,12,0.583,21,29,0.7241379310344828,8,27,35,30,16,6,10,25,120,Regular Season,2009-10,2009,L,W,-11,11
20900010,2009-10-28,1610612765,1.0,240,37,72,0.514,6,16,0.375,16,29,0.5517241379310345,10,29,39,20,5,4,9,27,96,1610612763,0.0,240,26,72,0.361,2,12,0.16699999999999998,20,31,0.6451612903225806,17,32,49,10,3,3,14,26,74,Regular Season,2009-10,2009,W,L,22,-22
20900017,2009-10-29,1610612759,0.5,240,33,78,0.423,4,21,0.19,15,23,0.6521739130434783,8,36,44,15,5,5,13,23,85,1610612741,1.0,240,35,84,0.41700000000000004,3,16,0.188,19,28,0.6785714285714286,15,37,52,20,5,9,9,20,92,Regular Season,2009-10,2009,L,W,-7,7
