game_id,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,team_id,w_pct,wl,away_home_,game_date,matchup,season_type,season,season_year,a,b,_a,_b
21000001,Heat,MIA,Miami,1610612748,0.0,L,0,2010-10-26,BOS vs. MIA,Regular Season,2010-11,2010,BOS,MIA,0.0,1.0
21000001,Celtics,BOS,Boston,1610612738,1.0,W,1,2010-10-26,BOS vs. MIA,Regular Season,2010-11,2010,BOS,MIA,1.0,0.0
21000002,Suns,PHX,Phoenix,1610612756,0.0,L,0,2010-10-26,PHX vs. POR,Regular Season,2010-11,2010,PHX,POR,1.0,0.0
21000002,Trail Blazers,POR,Portland,1610612757,1.0,W,1,2010-10-26,PHX vs. POR,Regular Season,2010-11,2010,PHX,POR,0.0,1.0
21000003,Rockets,HOU,Houston,1610612745,0.0,L,0,2010-10-26,HOU vs. LAL,Regular Season,2010-11,2010,HOU,LAL,1.0,0.0
21000003,Lakers,LAL,Los Angeles,1610612747,1.0,W,1,2010-10-26,HOU vs. LAL,Regular Season,2010-11,2010,HOU,LAL,0.0,1.0
21000008,Grizzlies,MEM,Memphis,1610612763,0.0,L,1,2010-10-27,ATL vs. MEM,Regular Season,2010-11,2010,ATL,MEM,0.0,1.0
21000006,Heat,MIA,Miami,1610612748,0.5,W,0,2010-10-27,MIA vs. PHI,Regular Season,2010-11,2010,MIA,PHI,1.0,0.0
21000005,Pistons,DET,Detroit,1610612765,0.0,L,0,2010-10-27,DET vs. NJN,Regular Season,2010-11,2010,DET,NJN,1.0,0.0
21000005,Nets,NJN,New Jersey,1610612751,1.0,W,1,2010-10-27,DET vs. NJN,Regular Season,2010-11,2010,DET,NJN,0.0,1.0
21000004,Celtics,BOS,Boston,1610612738,0.5,L,0,2010-10-27,BOS vs. CLE,Regular Season,2010-11,2010,BOS,CLE,1.0,0.0
21000016,Clippers,LAC,Los Angeles,1610612746,0.0,L,1,2010-10-27,LAC vs. POR,Regular Season,2010-11,2010,LAC,POR,1.0,0.0
21000016,Trail Blazers,POR,Portland,1610612757,1.0,W,0,2010-10-27,LAC vs. POR,Regular Season,2010-11,2010,LAC,POR,0.0,1.0
21000008,Hawks,ATL,Atlanta,1610612737,1.0,W,0,2010-10-27,ATL vs. MEM,Regular Season,2010-11,2010,ATL,MEM,1.0,0.0
