game_date,season,Team,Relinquished,Notes,player
2010-10-26,2010-11,Blazers,Elliot Williams,placed on IL,Elliot Williams
2010-10-26,2010-11,Blazers,Greg Oden,placed on IL with left knee injury (out for season),Greg Oden
2010-10-26,2010-11,Blazers,Joel Przybilla,placed on IL placed on IL recovering from surgery on right knee to repair ruptured patella tendon,Joel Przybilla
2010-10-26,2010-11,Celtics,Avery Bradley,placed on IL recovering from surgery on left ankle,Avery Bradley
2010-10-26,2010-11,Celtics,Kendrick Perkins,placed on IL recovering from surgery on right knee to repair torn ACL,Kendrick Perkins
2010-10-26,2010-11,Celtics,Luke Harangody,placed on IL,Luke Harangody
2010-10-26,2010-11,Heat,Dexter Pittman,placed on IL,Dexter Pittman
2010-10-26,2010-11,Heat,Jerry Stackhouse,placed on IL,Jerry Stackhouse
2010-10-26,2010-11,Heat,Mario Chalmers,sprained ankle (out indefinitely),Mario Chalmers
2010-10-26,2010-11,Heat,Mike Miller,placed on IL recovering from surgery on right hand to repair a broken thumb and ligament damage,Mike Miller
2010-10-26,2010-11,Lakers,Andrew Bynum,placed on IL recovering from surgery on right knee to repair torn ligaments,Andrew Bynum
2010-10-26,2010-11,Lakers,Luke Walton,placed on IL with strained right hamstring,Luke Walton
2010-10-26,2010-11,Rockets,Jermaine Taylor,placed on IL,Jermaine Taylor
2010-10-26,2010-11,Rockets,Kyle Lowry,placed on IL with back spasms,Kyle Lowry
2010-10-26,2010-11,Rockets,Patrick Patterson,placed on IL,Patrick Patterson
2010-10-26,2010-11,Suns,Gani Lawal,placed on IL,Gani Lawal
2010-10-27,2010-11,76ers,Craig Brackins,placed on IL,Craig Brackins
2010-10-27,2010-11,76ers,Jodie Meeks,placed on IL,Jodie Meeks
2010-10-27,2010-11,Bobcats,Dominic McGuire,placed on IL with stress fracture in left shin,Dominic McGuire
2010-10-27,2010-11,Bobcats,Eduardo Najera,placed on IL with sports hernia,Eduardo Najera
2010-10-27,2010-11,Bobcats,Kwame Brown,placed on IL with sprained left ankle,Kwame Brown
2010-10-27,2010-11,Bucks,Chris Douglas-Roberts,placed on IL with right eye injury,Chris Douglas-Roberts
2010-10-27,2010-11,Bucks,Jon Brockman,sprained left ankle (DNP),Jon Brockman
2010-10-27,2010-11,Bucks,Luc Mbah a Moute,sprained right ankle (DNP),Luc Mbah a Moute
2010-10-27,2010-11,Bucks,Michael Redd,placed on IL recovering from surgery on left knee to repair torn ACL,Michael Redd
2010-10-27,2010-11,Bulls,Carlos Boozer,placed on IL with fractured bone in right pinky finger,Carlos Boozer
2010-10-27,2010-11,Cavaliers,Christian Eyenga,placed on IL,Christian Eyenga
2010-10-27,2010-11,Cavaliers,Mo Williams,placed on IL with groin injury,Mo Williams
2010-10-27,2010-11,Cavaliers,Samardo Samuels,placed on IL,Samardo Samuels
2010-10-27,2010-11,Clippers,Craig Smith,placed on IL with back injury,Craig Smith
2010-10-27,2010-11,Clippers,Willie Warren,placed on IL,Willie Warren
2010-10-27,2010-11,Grizzlies,Greivis Vasquez,placed on IL recovering from surgery on right ankle to remove bone spur,Greivis Vasquez
2010-10-27,2010-11,Grizzlies,Marc Gasol,placed on IL with sprained right ankle / left ankle,Marc Gasol
2010-10-27,2010-11,Hawks,Etan Thomas,placed on IL,Etan Thomas
2010-10-27,2010-11,Hawks,Pape Sy,placed on IL with strained lower back,Pape Sy
2010-10-27,2010-11,Heat,Jamaal Magloire,placed on IL,Jamaal Magloire
2010-10-27,2010-11,Hornets,Aaron Gray,placed on IL,Aaron Gray
2010-10-27,2010-11,Hornets,Joe Alexander,placed on IL,Joe Alexander
2010-10-27,2010-11,Hornets,Quincy Pondexter,placed on IL,Quincy Pondexter
2010-10-27,2010-11,Jazz,Mehmet Okur,placed on IL recovering from surgery to repair torn left Achilles tendon,Mehmet Okur
2010-10-27,2010-11,Kings,Antoine Wright,placed on IL,Antoine Wright
