game_date,season,Team,Relinquished,Notes,player,team_id,PLAYER_ID,game_id
2010-10-26,2010-11,Blazers,Elliot Williams,placed on IL,Elliot Williams,1610612757,202343.0,21000002
2010-10-26,2010-11,Blazers,Greg Oden,placed on IL with left knee injury (out for season),Greg Oden,1610612757,201141.0,21000002
2010-10-26,2010-11,Blazers,Joel Przybilla,placed on IL placed on IL recovering from surgery on right knee to repair ruptured patella tendon,Joel Przybilla,1610612757,2038.0,21000002
2010-11-04,2010-11,Blazers,Elliot Williams,"dislocated patella in right knee (surgery, out for season)",Elliot Williams,1610612757,202343.0,21000067
2010-11-06,2010-11,Blazers,Elliot Williams,"placed on IL with dislocated patella in right knee (surgery, out for season)",Elliot Williams,1610612757,202343.0,21000087
2010-11-06,2010-11,Blazers,Rudy Fernandez,back injury (DNP),Rudy Fernandez,1610612757,201164.0,21000087
2010-12-18,2010-11,Blazers,Joel Przybilla,placed on IL with left ankle injury,Joel Przybilla,1610612757,2038.0,21000399
2010-12-18,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1610612757,200750.0,21000399
2010-12-18,2010-11,Blazers,Marcus Camby,sore right shoulder (DNP),Marcus Camby,1610612757,948.0,21000399
2010-12-18,2010-11,Blazers,Nicolas Batum,sore right shoulder (DNP),Nicolas Batum,1610612757,201587.0,21000399
2010-11-02,2010-11,Blazers,Patty Mills,placed on IL,Patty Mills,1610612757,201988.0,21000052
2011-03-01,2010-11,Blazers,Rudy Fernandez,illness / flu (DNP),Rudy Fernandez,1610612757,201164.0,21000901
2010-11-16,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1610612757,200750.0,21000154
2010-11-18,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1610612757,200750.0,21000170
2010-11-20,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1610612757,200750.0,21000189
2010-12-17,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1610612757,200750.0,21000391
2010-12-20,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1610612757,200750.0,21000412
2010-12-20,2010-11,Blazers,Marcus Camby,strained right shoulder (DNP),Marcus Camby,1610612757,948.0,21000412
2010-12-25,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1610612757,200750.0,21000437
2010-12-27,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1610612757,200750.0,21000452
2010-12-28,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1610612757,200750.0,21000461
2010-12-28,2010-11,Blazers,Marcus Camby,sprained right ankle (P) / left ankle (CBC) (DNP),Marcus Camby,1610612757,948.0,21000461
2011-01-02,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy,1610612757,200750.0,21000496
2011-01-04,2010-11,Blazers,Brandon Roy,placed on IL with sore left knee,Brandon Roy,1610612757,200750.0,21000509
2011-01-17,2010-11,Blazers,Brandon Roy,arthroscopic surgery on both knees (out indefinitely),Brandon Roy,1610612757,200750.0,21000609
2011-04-13,2010-11,Blazers,Brandon Roy,rest (DNP),Brandon Roy,1610612757,200750.0,21001227
2011-04-13,2010-11,Blazers,Marcus Camby,rest (DNP),Marcus Camby,1610612757,948.0,21001227
2011-04-13,2010-11,Blazers,Nicolas Batum,placed on IL for rest,Nicolas Batum,1610612757,201587.0,21001227
2011-04-13,2010-11,Blazers,Gerald Wallace,rest (DNP),Gerald Wallace,1610612757,2222.0,21001227
2011-04-13,2010-11,Blazers,LaMarcus Aldridge,rest (DNP),LaMarcus Aldridge,1610612757,200746.0,21001227
2010-11-28,2010-11,Blazers,Sean Marks,sprained right ankle (DNP),Sean Marks,1610612757,1752.0,21000246
2011-02-23,2010-11,Blazers,Sean Marks,left hand injury (DTD),Sean Marks,1610612757,1752.0,21000858
2010-12-03,2010-11,Blazers,Luke Babbitt,placed on IL,Luke Babbitt,1610612757,202337.0,21000277
