GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021501081,1610612747,Lakers,LAL,Los Angeles,240:00,104.5,108.2,115.4,119.6,-10.8,-11.3,0.622,2.09,17.6,0.235,0.673,0.462,10.952,11.3,0.494,0.544,1.0,0.199,100.5,97.0,80.83,97,0.458
0021501081,1610612743,Nuggets,DEN,Denver,240:00,115.4,119.6,104.5,108.2,10.8,11.3,0.689,3.44,21.4,0.327,0.765,0.538,8.95,9.3,0.532,0.555,1.0,0.199,100.5,97.0,80.83,97,0.542
0021501082,1610612754,Pacers,IND,Indiana,240:00,105.6,103.8,112.3,114.3,-6.8,-10.5,0.649,1.2,17.9,0.182,0.73,0.432,19.194,18.9,0.552,0.61,1.0,0.2,105.52,105.5,87.92,106,0.444
0021501082,1610612751,Nets,BKN,Brooklyn,240:00,112.3,114.3,105.6,103.8,6.8,10.5,0.571,1.14,17.4,0.27,0.818,0.568,19.656,20.0,0.578,0.646,1.0,0.199,105.52,105.5,87.92,105,0.556
0021501083,1610612753,Magic,ORL,Orlando,240:00,116.5,118.1,91.3,93.7,25.2,24.4,0.667,2.46,23.0,,0.696,,13.644,13.8,0.579,0.589,1.0,0.196,96.38,94.5,78.75,94,0.66
0021501083,1610612741,Bulls,CHI,Chicago,240:00,91.3,93.7,116.5,118.1,-25.2,-24.4,0.556,1.54,15.6,0.304,,,13.336,13.7,0.443,0.466,1.0,0.201,96.38,94.5,78.75,95,0.34
0021501084,1610612761,Raptors,TOR,Toronto,240:00,125.9,122.3,99.1,98.9,26.8,23.4,0.615,1.85,19.6,,,,14.236,13.8,0.616,0.674,1.0,0.199,91.56,93.0,77.5,94,0.638
0021501084,1610612740,Pelicans,NOP,New Orleans,240:00,99.1,98.9,125.9,122.3,-26.8,-23.4,0.595,3.14,17.9,,,,7.625,7.6,0.459,0.485,1.0,0.2,91.56,93.0,77.5,92,0.362
0021501085,1610612765,Pistons,DET,Detroit,240:00,97.6,100.0,110.7,117.9,-13.1,-17.9,0.735,2.27,18.3,0.333,0.769,0.541,11.303,11.6,0.426,0.473,1.0,0.201,99.24,95.0,79.17,95,0.423
0021501085,1610612737,Hawks,ATL,Atlanta,240:00,110.7,117.9,97.6,100.0,13.1,17.9,0.791,6.8,24.3,0.231,0.667,0.459,4.943,5.3,0.521,0.554,1.0,0.196,99.24,95.0,79.17,95,0.577
0021501086,1610612752,Knicks,NYK,New York,240:00,104.1,105.7,118.9,120.2,-14.8,-14.5,0.606,2.5,16.8,0.235,0.653,0.44,8.957,9.1,0.468,0.509,1.0,0.201,89.66,88.5,73.75,88,0.415
0021501086,1610612739,Cavaliers,CLE,Cleveland,240:00,118.9,120.2,104.1,105.7,14.8,14.5,0.568,1.91,16.7,0.347,0.765,0.56,12.222,12.4,0.53,0.569,1.0,0.194,89.66,88.5,73.75,89,0.585
0021501087,1610612762,Jazz,UTA,Utah,240:00,99.9,101.1,90.0,91.3,9.9,9.8,0.538,1.5,17.3,0.205,0.759,0.51,15.041,15.2,0.524,0.54,1.0,0.194,93.22,92.0,76.67,92,0.557
