FRANCHISE NAME,START,END,YEARS,GP,WINS,LOSSES,WIN%,PO,"DIV.
TITLES","CONF.
TITLES","LEAGUE
TITLES"
Atlanta Hawks,1949,,72,"5,690","2,805","2,885",0.492,46,12,0,1
Atlanta Hawks,1968,2020,53,"4,270","2,106","2,164",0.493,33,6,0,0
St. Louis Hawks,1955,1967,13,"1,008",555,453,0.55,12,6,0,1
Milwaukee Hawks,1951,1954,4,280,90,190,0.321,0,0,0,0
Tri-Cities Blackhawks,1949,1950,2,132,54,78,0.409,1,0,0,0
Boston Celtics,1946,,75,"5,866","3,461","2,404",0.59,57,31,9,17
Brooklyn Nets,1976,,45,"3,619","1,530","2,089",0.422,21,4,2,0
Brooklyn Nets,2012,2020,9,715,322,393,0.45,5,0,0,0
New Jersey Nets,1977,2011,35,"2,822","1,186","1,636",0.42,16,4,2,0
New York Nets,1976,1976,1,82,22,60,0.268,0,0,0,0
Charlotte Hornets,1988,,31,"2,464","1,083","1,381",0.439,10,0,0,0
Charlotte Hornets,1988,2020,21,"1,660",790,870,0.475,10,0,0,0
Charlotte Bobcats,2004,2013,10,804,293,511,0.364,2,0,0,0
Chicago Bulls,1966,,55,"4,431","2,256","2,175",0.509,35,9,6,6
Cleveland Cavaliers,1970,,51,"4,104","1,888","2,216",0.46,22,7,5,1
Dallas Mavericks,1980,,41,"3,294","1,655","1,639",0.502,22,4,2,1
Denver Nuggets,1976,,45,"3,620","1,794","1,826",0.495,26,9,0,0
Detroit Pistons,1948,,73,"5,752","2,774","2,978",0.482,42,12,5,3
Detroit Pistons,1957,2020,64,"5,131","2,460","2,671",0.479,34,9,5,3
Ft. Wayne Zollner Pistons,1948,1956,9,621,314,307,0.505,8,3,0,0
Golden State Warriors,1946,,75,"5,855","2,824","3,031",0.482,35,12,6,6
Golden State Warriors,1971,2020,50,"4,023","1,936","2,087",0.481,18,7,6,4
San Francisco Warriors,1962,1970,9,729,330,399,0.452,5,2,0,0
Philadelphia Warriors,1946,1961,16,"1,103",558,545,0.505,12,3,0,2
Houston Rockets,1967,,54,"4,357","2,285","2,072",0.524,34,8,4,2
Houston Rockets,1971,2020,50,"4,029","2,166","1,863",0.537,33,8,4,2
